"|,""latitude"",""longitude"",""sicaklik"",""timestamp"""
"-LwUePLWi2c86Q38uHoj,""40.742264"",""30.325671"",""5.46224"",""1576784209600"""
"-LwUeT8eDEynhxIRpH_r,""40.742264"",""30.325671"",""5.46224"",""1576784225157"""
"-LwUeWy3OsnAGX9dTBi2,""40.742264"",""30.325671"",""8.310547"",""1576784240804"""
"-LwUe_lYlWEcmQ1ZwW7k,""40.742264"",""30.325671"",""8.310547"",""1576784256405"""
"-LwUed_3fLSA9IinL2Tz,""40.742264"",""30.325671"",""8.310547"",""1576784271966"""
"-LwUehNDsxUsmlc4jpcO,""40.742264"",""30.325671"",""5.869141"",""1576784287522"""
"-LwUelTQcSFANeVb6g06,""40.742264"",""30.325671"",""8.310547"",""1576784304319"""
"-LwUepIBb8WeGJYZnOsf,""40.742264"",""30.325671"",""8.310547"",""1576784320018"""
"-LwUetj16GpHrQDoxK6C,""40.742264"",""30.325671"",""7.903646"","""""
"-LwUf-z-MJHCKAbLoKcw,""40.742264"",""30.325671"",""7.903646"",""1576784367867"""
"-LwUf3nuHPPx-g2lfX76,""40.742264"",""30.325671"",""5.46224"",""1576784383509"""
"-LwUf7b08Tx6_EAe52sm,""40.742264"",""30.325671"",""7.496745"",""1576784399071"""
"-LwUfBPLDaPc_gATD-0A,""40.742264"",""30.325671"",""7.496745"",""1576784414644"""
"-LwUfFCU86yLFVHuFIGx,""40.742264"",""30.325671"",""7.496745"",""1576784430193"""
"-LwUfJ-je5g_qw2UGiJq,""40.742264"",""30.325671"",""7.496745"",""1576784445764"""
"-LwUfMnvbdUSZx0je3lU,""40.742264"",""30.325671"",""7.496745"",""1576784461326"""
"-LwUfQb-WagcwWZtHWLq,""40.742264"",""30.325671"",""7.496745"",""1576784476882"""
"-LwUfUPHvs-SX75lWMRo,""40.742264"",""30.325671"",""7.496745"",""1576784492453"""
"-LwUfYCA578QfdyS93zo,""40.742264"",""30.325671"",""5.055339"",""1576784508023"""
"-LwUfb0GyUc5iqq3BK_Z,""40.742264"",""30.325671"",""5.055339"",""1576784523620"""
"-LwUfeoCc1M2bdTGEeAx,""40.742264"",""30.325671"",""7.089844"",""1576784539264"""
"-LwUfidBZiYxmnAZ3J58,""40.742264"",""30.325671"",""7.089844"",""1576784554979"""
"-LwUfmT5AhtN_knsJxzp,""40.742264"",""30.325671"",""5.055339"",""1576784570659"""
"-LwUfqIkU6rcNhe9fu7d,""40.742264"",""30.325671"",""5.055339"",""1576784586248"""
"-LwUfu5otdYwZ3oMo0Vv,""40.742264"",""30.325671"",""7.496745"",""1576784601809"""
"-LwUfxu_gHSGC31BXO8L,""40.742264"",""30.325671"",""7.496745"",""1576784617413"""
"-LwUg0heJZTABB42r2N3,""40.742264"",""30.325671"",""5.055339"",""1576784632969"""
"-LwUg4VrfjKbu3nSQ2SU,""40.742264"",""30.325671"",""5.055339"",""1576784648535"""
"-LwUg8IytVWRelKGgs6A,""40.742264"",""30.325671"",""5.055339"",""1576784664085"""
"-LwUgC5w3IPyfcrtDNRn,""40.742264"",""30.325671"",""7.089844"",""1576784679632"""
"-LwUgG-OojfKQl9ALMHB,""40.742264"",""30.325671"",""7.089844"",""1576784695607"""
"-LwUgJn__pt2prNAl4u4,""40.742264"",""30.325671"",""7.089844"",""1576784711159"""
"-LwUgNaZpcRJE7Rdek0o,""40.742264"",""30.325671"",""7.089844"",""1576784726714"""
"-LwUgRO_795N1HM3f-x5,""40.742264"",""30.325671"",""7.089844"",""1576784742293"""
"-LwUgVC7x0vkqItgDq_3,""40.742264"",""30.325671"",""7.496745"",""1576784757854"""
"-LwUgZ-ANn6FGcsP-uUL,""40.742264"",""30.325671"",""7.496745"",""1576784773409"""
"-LwUgc7tNdqKQVxPRacA,""40.742264"",""30.325671"",""7.496745"",""1576784790350"""
"-LwUgfvtut3kK_6_3Rga,""40.742264"",""30.325671"",""5.055339"",""1576784805970"""
"-LwUgjkPwYXHHmT1Pd4F,""40.742264"",""30.325671"",""7.496745"",""1576784821636"""
"-LwUgnZqr5iY6HOU9rIK,""40.742264"",""30.325671"",""7.496745"",""1576784837203"""
"-LwUgrhkM5tzyLLsS-GN,""40.742264"",""30.325671"",""7.496745"",""1576784854151"""
"-LwUgvVhXkfu276X6iF2,""40.742264"",""30.325671"",""5.055339"",""1576784869701"""
"-LwUgzIsdgCD2Tu6baiT,""40.742264"",""30.325671"",""7.496745"",""1576784885422"""
"-LwUh28UraKT5wtBxyr0,""40.742264"",""30.325671"",""7.496745"",""1576784900997"""
"-LwUh5ws2aHlpdnbmXBR,""40.742264"",""30.325671"",""7.496745"",""1576784916575"""
"-LwUh9kEjDEC3DZuegUf,""40.742264"",""30.325671"",""7.496745"",""1576784932136"""
"-LwUhDYIvArBGNQwBh9v,""40.742264"",""30.325671"",""5.46224"",""1576784947693"""
"-LwUhHLUp0jT0R3gqgmF,""40.742264"",""30.325671"",""7.496745"",""1576784963258"""
"-LwUhL8pdDAVPq-HnJsX,""40.742264"",""30.325671"",""7.496745"",""1576784978829"""
